id_turista;procedencia;fec_salida;fec_llegada;gasto
5101125;Europa;17/09/18;11/09/18;438
5101126;America;12/10/18;30/09/18;2772
5101127;America;18/03/18;06/03/18;3420
5101128;Oceania;09/02/18;29/01/18;2376
5101129;Asia;28/07/18;16/07/18;1074
5101130;Europa;13/09/18;07/09/18;408
5101131;America;05/12/18;27/11/18;744
5101132;America;31/12/18;24/12/18;1981
5101133;Asia;12/05/18;01/05/18;1382
5101134;America;07/11/18;26/10/18;1056
5101135;America;19/02/18;09/02/18;1520
5101136;Europa;15/03/18;13/03/18;476
5101137;Asia;27/02/18;21/02/18;1284
5101138;Asia;24/10/18;15/10/18;2841
5101139;Asia;17/12/18;05/12/18;2118
5101140;America;28/11/18;16/11/18;2520
5101141;Europa;14/11/18;04/11/18;1120
5101142;Asia;22/09/18;15/09/18;2075
5101143;Europa;09/12/18;06/12/18;153
5101144;Europa;29/11/18;24/11/18;1265
5101145;Europa;11/01/18;05/01/18;1368
5101146;America;04/05/18;26/04/18;1088
5101147;Asia;01/07/18;18/06/18;2204
5101148;America;02/09/18;27/08/18;768
5101149;Oceania;28/07/18;16/07/18;1248
5101150;Europa;06/01/18;30/12/17;532
5101151;Europa;16/05/18;06/05/18;740
5101152;Europa;06/08/18;30/07/18;882
5101153;America;31/08/18;23/08/18;2256
5101154;Asia;14/02/18;03/02/18;887
5101155;Europa;16/01/18;08/01/18;1360
5101156;Oceania;09/12/18;29/11/18;1400
5101157;Asia;11/02/18;04/02/18;1480
5101158;Asia;25/01/18;14/01/18;2658
5101159;America;04/12/18;28/11/18;1452
5101160;America;12/04/18;30/03/18;676
5101161;Oceania;07/12/18;29/11/18;1704
5101162;America;09/01/18;02/01/18;812
5101163;Asia;27/08/18;16/08/18;1987
5101164;Asia;11/12/18;05/12/18;1056
5101165;Europa;05/10/18;02/10/18;693
5101166;Asia;17/02/18;10/02/18;1963
5101167;Europa;10/07/18;02/07/18;488
5101168;Europa;11/09/18;04/09/18;847
5101169;Asia;01/03/18;21/02/18;1758
5101170;Asia;25/04/18;15/04/18;1580
5101171;America;12/04/18;02/04/18;1710
5101172;Europa;15/02/18;05/02/18;830
5101173;Asia;16/11/18;07/11/18;1014
5101174;Europa;27/05/18;22/05/18;735
5101175;Asia;06/07/18;29/06/18;1263
5101176;Europa;10/09/18;02/09/18;1104
5101177;Asia;30/09/18;24/09/18;1512
5101178;Asia;07/12/18;01/12/18;1110
5101179;Oceania;03/05/18;23/04/18;2170
5101180;Asia;27/03/18;18/03/18;1545
5101181;Europa;19/07/18;11/07/18;688
5101182;America;23/10/18;17/10/18;498
5101183;Europa;09/11/18;03/11/18;1146
5101184;Asia;17/08/18;09/08/18;1382
5101185;Asia;26/09/18;16/09/18;1480
5101186;Oceania;29/10/18;23/10/18;1434
5101187;Europa;15/03/18;06/03/18;2106
5101188;Asia;11/09/18;30/08/18;1422
5101189;Asia;05/06/18;27/05/18;2130
5101190;America;24/01/18;17/01/18;1400
5101191;America;23/12/18;16/12/18;1442
5101192;Europa;20/01/18;18/01/18;518
5101193;Asia;16/04/18;11/04/18;1035
5101194;America;11/11/18;03/11/18;1752
5101195;America;01/07/18;23/06/18;1096
5101196;Europa;18/05/18;10/05/18;1608
5101197;America;12/02/18;03/02/18;2619
5101198;Europa;10/07/18;04/07/18;936
5101199;America;17/06/18;11/06/18;1398
5101200;America;04/05/18;28/04/18;894
5101201;America;20/03/18;09/03/18;1210
5101202;Europa;10/09/18;02/09/18;944
5101203;Europa;05/08/18;30/07/18;1716
5101204;America;06/06/18;25/05/18;1500
5101205;Asia;14/01/18;08/01/18;1260
5101206;Europa;30/01/18;26/01/18;1020
5101207;Europa;26/10/18;23/10/18;309
5101208;Asia;15/01/18;02/01/18;1632
5101209;Europa;22/04/18;12/04/18;2560
5101210;Europa;03/03/18;23/02/18;1920
5101211;Oceania;02/12/18;21/11/18;2959
5101212;America;18/09/18;10/09/18;1808
5101213;America;26/10/18;13/10/18;1287
5101214;Europa;06/06/18;02/06/18;920
5101215;Europa;12/02/18;06/02/18;1008
5101216;Asia;29/08/18;18/08/18;2482
5101217;America;12/10/18;07/10/18;850
5101218;Europa;23/08/18;14/08/18;1908
5101219;Europa;03/05/18;28/04/18;600
5101220;Asia;08/12/18;25/11/18;1970
5101221;Europa;30/09/18;24/09/18;1620
5101222;Europa;26/05/18;24/05/18;288
5101223;America;23/01/18;17/01/18;1398
5101224;Europa;28/02/18;25/02/18;549
5101225;Oceania;09/07/18;29/06/18;3000
5101226;America;18/05/18;12/05/18;534
5101227;America;05/08/18;27/07/18;2358
5101228;Europa;13/10/18;08/10/18;625
5101229;Europa;18/06/18;09/06/18;1683
5101230;Europa;04/11/18;26/10/18;1620
5101231;Asia;02/09/18;27/08/18;534
5101232;Europa;30/12/18;27/12/18;555
5101233;America;13/05/18;02/05/18;2640
5101234;Asia;02/07/18;22/06/18;2820
5101235;Asia;21/07/18;13/07/18;1206
5101236;Oceania;17/02/18;10/02/18;1855
5101237;Europa;22/05/18;19/05/18;306
5101238;Oceania;29/04/18;17/04/18;1224
5101239;Europa;30/05/18;25/05/18;1250
5101240;America;09/03/18;01/03/18;1640
5101241;Asia;08/05/18;28/04/18;780
5101242;Europa;06/10/18;28/09/18;1672
5101243;Asia;16/01/18;05/01/18;3065
5101244;Asia;02/09/18;23/08/18;760
5101245;Europa;27/05/18;21/05/18;906
5101246;Asia;13/02/18;02/02/18;2779
5101247;Oceania;10/01/18;03/01/18;1582
5101248;Asia;17/07/18;11/07/18;816
5101249;Europa;24/06/18;22/06/18;574
5101250;Europa;25/06/18;21/06/18;448
5101251;Oceania;07/11/18;01/11/18;498
5101252;Asia;27/10/18;21/10/18;600
5101253;America;19/11/18;11/11/18;624
5101254;Europa;24/11/18;18/11/18;1740
5101255;Europa;20/02/18;15/02/18;845
5101256;Europa;11/01/18;05/01/18;1296
5101257;Asia;02/11/18;24/10/18;1500
5101258;America;12/10/18;05/10/18;1694
5101259;Asia;08/11/18;29/10/18;2060
5101260;Asia;13/08/18;03/08/18;1200
5101261;Europa;20/01/18;18/01/18;528
5101262;America;07/04/18;30/03/18;2072
5101263;Asia;13/01/18;01/01/18;2214
5101264;Europa;20/06/18;16/06/18;288
5101265;Europa;24/01/18;21/01/18;582
5101266;Asia;21/05/18;10/05/18;3021
5101267;Europa;14/07/18;05/07/18;1845
5101268;Asia;03/03/18;25/02/18;1398
5101269;Asia;08/07/18;01/07/18;1333
5101270;America;06/04/18;28/03/18;567
5101271;Oceania;02/08/18;23/07/18;1840
5101272;America;02/06/18;24/05/18;594
5101273;Asia;11/02/18;01/02/18;2210
5101274;America;27/10/18;21/10/18;864
5101275;America;18/02/18;05/02/18;2158
5101276;Asia;06/11/18;27/10/18;2670
5101277;Asia;03/10/18;28/09/18;1485
5101278;Asia;26/07/18;18/07/18;2446
5101279;Asia;09/12/18;26/11/18;1983
5101280;Asia;20/02/18;07/02/18;2919
5101281;Asia;26/07/18;18/07/18;726
5101282;Europa;01/10/18;25/09/18;1182
5101283;America;23/12/18;17/12/18;888
5101284;Oceania;31/10/18;19/10/18;2004
5101285;Asia;19/08/18;13/08/18;1680
5101286;Europa;17/11/18;13/11/18;964
5101287;Europa;01/08/18;26/07/18;630
5101288;Europa;17/04/18;07/04/18;820
5101289;Asia;11/01/18;01/01/18;1880
5101290;America;06/08/18;25/07/18;2700
5101291;Europa;10/02/18;04/02/18;1212
5101292;Europa;09/07/18;02/07/18;1134
5101293;Oceania;20/05/18;14/05/18;1134
5101294;Europa;10/01/18;07/01/18;270
5101295;America;02/12/18;22/11/18;1830
5101296;Asia;28/12/18;19/12/18;726
5101297;Europa;28/08/18;22/08/18;918
5101298;Europa;08/05/18;05/05/18;498
5101299;Asia;20/04/18;11/04/18;2013
5101300;Europa;27/12/18;22/12/18;605
5101301;Europa;24/01/18;22/01/18;388
5101302;America;08/09/18;31/08/18;1344
5101303;Asia;12/01/18;03/01/18;1311
5101304;Asia;18/10/18;12/10/18;762
5101305;America;05/06/18;28/05/18;416
5101306;Oceania;24/11/18;14/11/18;2490
5101307;Oceania;11/03/18;05/03/18;354
5101308;Europa;31/05/18;21/05/18;2300
5101309;Asia;08/07/18;01/07/18;2040
5101310;Asia;22/06/18;14/06/18;1166
5101311;Europa;10/11/18;08/11/18;222
5101312;Europa;03/01/18;25/12/17;1908
5101313;Asia;01/03/18;21/02/18;2390
5101314;Europa;27/04/18;21/04/18;1764
5101315;Europa;15/08/18;11/08/18;916
5101316;Asia;28/08/18;23/08/18;705
5101317;America;25/03/18;18/03/18;1498
5101318;Asia;26/10/18;18/10/18;2390
5101319;Asia;28/12/18;18/12/18;2540
5101320;America;20/09/18;13/09/18;1925
5101321;America;20/11/18;15/11/18;800
5101322;Europa;04/06/18;30/05/18;1185
5101323;Europa;15/01/18;06/01/18;1908
5101324;America;21/02/18;14/02/18;1190
5101325;Asia;28/01/18;22/01/18;768
5101326;Europa;21/03/18;18/03/18;408
5101327;Europa;07/04/18;02/04/18;740
5101328;Europa;26/02/18;18/02/18;544
5101329;Asia;05/01/18;24/12/17;3654
5101330;Europa;23/03/18;13/03/18;2650
5101331;America;04/08/18;26/07/18;1125
5101332;Europa;10/03/18;01/03/18;2403
5101333;Europa;15/12/18;11/12/18;612
5101334;Asia;15/12/18;09/12/18;570
5101335;Europa;04/03/18;28/02/18;728
5101336;Europa;28/03/18;18/03/18;780
5101337;Oceania;28/02/18;17/02/18;605
5101338;Europa;22/05/18;13/05/18;891
5101339;Asia;10/11/18;31/10/18;2480
5101340;Asia;26/06/18;18/06/18;1566
5101341;Europa;18/02/18;11/02/18;1827
5101342;Europa;30/12/18;28/12/18;502
5101343;Europa;31/07/18;28/07/18;342
5101344;Europa;26/04/18;20/04/18;1314
5101345;Asia;10/09/18;02/09/18;2398
5101346;America;21/08/18;10/08/18;682
5101347;Asia;04/05/18;29/04/18;815
5101348;Asia;26/05/18;18/05/18;2022
5101349;Asia;26/04/18;19/04/18;591
5101350;America;12/05/18;29/04/18;3185
5101351;America;12/08/18;02/08/18;2250
5101352;Europa;16/09/18;14/09/18;518
5101353;Asia;28/02/18;17/02/18;1338
5101354;Europa;23/09/18;14/09/18;1413
5101355;Asia;03/10/18;28/09/18;1350
5101356;Asia;27/09/18;22/09/18;990
5101357;Europa;19/11/18;14/11/18;1055
5101358;Europa;14/03/18;08/03/18;306
5101359;Oceania;06/01/18;27/12/17;2020
5101360;Oceania;21/09/18;14/09/18;882
5101361;America;04/09/18;30/08/18;1360
5101362;America;10/07/18;04/07/18;882
5101363;Asia;30/07/18;18/07/18;1614
5101364;Asia;22/03/18;11/03/18;2537
5101365;Europa;17/04/18;08/04/18;1188
5101366;Asia;28/07/18;22/07/18;1488
5101367;Asia;30/04/18;20/04/18;990
5101368;Europa;14/01/18;05/01/18;1809
5101369;America;28/09/18;23/09/18;455
5101370;America;20/07/18;07/07/18;1131
5101371;Asia;16/10/18;08/10/18;2054
5101372;Europa;17/07/18;10/07/18;1764
5101373;America;19/01/18;12/01/18;1897
5101374;America;15/07/18;07/07/18;944
5101375;Europa;24/12/18;18/12/18;1272
5101376;Asia;04/01/18;29/12/17;882
5101377;Asia;30/04/18;23/04/18;1732
5101378;Europa;08/02/18;03/02/18;515
5101379;Asia;17/12/18;10/12/18;1130
5101380;Europa;11/04/18;01/04/18;1120
5101381;Asia;12/10/18;02/10/18;1250
5101382;Europa;30/07/18;23/07/18;763
5101383;Europa;31/10/18;25/10/18;888
5101384;Europa;18/04/18;13/04/18;315
5101385;Europa;24/02/18;18/02/18;1314
5101386;America;25/06/18;19/06/18;1248
5101387;America;02/05/18;21/04/18;1925
5101388;Europa;07/01/18;30/12/17;1984
5101389;America;20/03/18;11/03/18;2475
5101390;Europa;16/07/18;09/07/18;2051
5101391;Asia;15/05/18;07/05/18;1910
5101392;Europa;29/04/18;21/04/18;1640
5101393;Europa;14/05/18;08/05/18;678
5101394;America;06/10/18;26/09/18;1690
5101395;Asia;28/11/18;23/11/18;1465
5101396;Asia;28/08/18;16/08/18;2646
5101397;Europa;18/11/18;13/11/18;1025
5101398;Europa;26/11/18;19/11/18;1799
5101399;Asia;23/06/18;14/06/18;2823
5101400;Europa;11/12/18;02/12/18;1854
5101401;Oceania;08/01/18;27/12/17;2856
5101402;Europa;20/03/18;17/03/18;318
5101403;America;25/11/18;19/11/18;1308
5101404;Asia;16/11/18;09/11/18;1368
5101405;Asia;12/08/18;31/07/18;966
5101406;America;28/12/18;20/12/18;1968
5101407;Oceania;13/04/18;06/04/18;1099
5101408;Asia;20/03/18;14/03/18;1182
5101409;Asia;25/12/18;13/12/18;1242
5101410;Asia;29/12/18;19/12/18;3040
5101411;Asia;12/05/18;06/05/18;630
5101412;Europa;01/03/18;27/02/18;574
5101413;Europa;30/07/18;23/07/18;511
5101414;Asia;17/01/18;07/01/18;2800
5101415;Europa;27/07/18;17/07/18;1480
5101416;Asia;01/11/18;26/10/18;738
5101417;Europa;16/02/18;10/02/18;1200
5101418;Asia;04/07/18;28/06/18;696
5101419;Europa;14/08/18;12/08/18;570
5101420;Asia;23/01/18;16/01/18;1746
5101421;America;10/06/18;03/06/18;1498
5101422;Europa;24/01/18;18/01/18;726
5101423;Asia;23/03/18;11/03/18;2238
5101424;America;02/10/18;20/09/18;1092
5101425;America;03/04/18;22/03/18;3156
5101426;Asia;28/12/18;15/12/18;1099
5101427;America;27/02/18;21/02/18;1092
5101428;Europa;03/09/18;31/08/18;591
5101429;Asia;03/02/18;25/01/18;1176
5101430;America;11/05/18;02/05/18;2664
5101431;Europa;24/03/18;18/03/18;708
5101432;Asia;21/09/18;15/09/18;816
5101433;America;15/07/18;06/07/18;657
5101434;America;08/11/18;27/10/18;1236
5101435;Europa;09/04/18;06/04/18;816
5101436;America;01/12/18;24/11/18;1400
5101437;America;04/03/18;21/02/18;737
5101438;Europa;08/02/18;01/02/18;1974
5101439;Asia;06/09/18;30/08/18;1256
5101440;Asia;12/08/18;06/08/18;1518
5101441;Europa;24/08/18;22/08/18;382
5101442;America;28/09/18;22/09/18;600
5101443;America;28/02/18;23/02/18;660
5101444;Asia;12/11/18;02/11/18;2960
5101445;America;29/01/18;21/01/18;1544
5101446;America;08/06/18;27/05/18;1776
5101447;Europa;29/03/18;24/03/18;495
5101448;America;21/10/18;13/10/18;888
5101449;Asia;21/01/18;15/01/18;492
5101450;Asia;10/05/18;30/04/18;1880
5101451;America;28/11/18;18/11/18;940
5101452;Europa;19/11/18;16/11/18;729
5101453;Europa;07/10/18;04/10/18;420
5101454;Asia;04/12/18;24/11/18;2020
5101455;America;25/11/18;19/11/18;1002
5101456;Asia;14/08/18;01/08/18;3400
5101457;America;04/07/18;21/06/18;2912
5101458;Europa;02/02/18;26/01/18;1050
5101459;America;20/04/18;09/04/18;1661
5101460;Europa;22/04/18;14/04/18;1480
5101461;Oceania;06/08/18;26/07/18;1947
5101462;America;23/05/18;11/05/18;3492
5101463;Asia;31/05/18;19/05/18;1638
5101464;America;21/09/18;14/09/18;1708
5101465;Europa;05/03/18;24/02/18;1539
5101466;Europa;20/08/18;16/08/18;264
5101467;Asia;01/01/19;22/12/18;2370
5101468;Asia;23/05/18;11/05/18;1578
5101469;Europa;30/03/18;20/03/18;2540
5101470;Oceania;29/07/18;18/07/18;781
5101471;Asia;30/03/18;25/03/18;1170
5101472;Asia;16/09/18;04/09/18;2094
5101473;America;20/11/18;14/11/18;762
5101474;Asia;15/05/18;06/05/18;2733
5101475;Europa;17/02/18;09/02/18;1352
5101476;Oceania;11/07/18;30/06/18;2057
5101477;America;24/10/18;19/10/18;1300
5101478;America;20/05/18;10/05/18;2910
5101479;Asia;21/05/18;09/05/18;3522
5101480;Oceania;12/07/18;03/07/18;2547
5101481;America;27/12/18;16/12/18;2332
5101482;America;10/12/18;02/12/18;1400
5101483;America;17/02/18;12/02/18;720
5101484;Oceania;17/02/18;10/02/18;1645
5101485;Europa;26/02/18;18/02/18;1480
5101486;America;14/04/18;06/04/18;1424
5101487;Europa;10/08/18;01/08/18;1908
5101488;America;18/10/18;12/10/18;1668
5101489;Asia;05/12/18;26/11/18;1455
5101490;America;24/06/18;12/06/18;2076
5101491;Asia;15/11/18;05/11/18;980
5101492;Europa;09/10/18;05/10/18;464
5101493;Europa;03/12/18;01/12/18;482
5101494;Oceania;05/11/18;26/10/18;1080
5101495;Asia;24/02/18;17/02/18;955
5101496;Asia;17/12/18;05/12/18;1098
5101497;Europa;13/06/18;09/06/18;724
5101498;America;04/04/18;28/03/18;1365
5101499;America;13/04/18;31/03/18;1534
5101500;Asia;28/05/18;19/05/18;2031
